Name	Publication	Role	RRID	Description	Antigen	AntibodyConjugate	Applications	Rating	Dilution	DilutionUnits	Source	Uniprot	VendorName	VendorCat	CloneName	Clonality	IsoType	Type	AntigenSpecies	TargetCells	PositiveControl	UsageNotes	RaisedIn
Anti-Pro-Insulin C-Peptide, clone C-PEP-01 antibody	PMID27732837	Contact	AB_10615626	NA	C-PEPTIDE	Nd144	cytometry time of flight assay	5	0.195	ug/ml	Table S1	NA	Millipore	05-1109		monoclonal	NA	primary	human	type B pancreatic cell	NA	dilution: 0.195 ug/ml	mouse
Anti-Glucagon (FL-180) Antibody	PMID27732837	Contact	AB_641026	NA	GLUCAGON	Sm147	cytometry time of flight assay	5	0.5	ug/ml	Table S1	NA	Santa Cruz Biotechnology	sc-13091	FL-180	polyclonal	NA	primary	human|mouse|rat	pancreatic A cell	NA	dilution: 0.5 ug/ml	rabbit
Anti- Somatostatin (H-106) Antibody	PMID27732837	Contact	AB_2195930	NA	SOMATOSTATIN	Eu151	cytometry time of flight assay	5	0.16	ug/ml	Table S1	NA	Santa Cruz Biotechnology	sc-13099	H-106	polyclonal	NA	primary	human|mouse|rat	pancreatic D cell	NA	dilution: 0.16 ug/ml	rabbit
Pancreatic Polypeptide antibody	PMID27732837	Contact	AB_1524152	NA	POLYPEPTIDE	Sm152	cytometry time of flight assay	5	0.2	ug/ml	Table S1	NA	Abcam	ab77192		polyclonal	NA	primary	human	pancreatic PP cell	NA	dilution: 0.2 ug/ml	goat
Gastrin (C-20) antibody	PMID27732837	Contact	AB_2108261	NA	GASTRIN	Lu175	cytometry time of flight assay	5	0.32	ug/ml	Table S1	NA	Santa Cruz Biotechnology	sc-7783		polyclonal	NA	primary	human|mouse|rat		NA	dilution: 0.32 ug/ml	goat
Anti-ghrelin (C-18) Antibody	PMID27732837	Contact	AB_2232479	NA	GHRELIN	Yb176	cytometry time of flight assay	5	0.198	ug/ml	Table S1	NA	Santa Cruz Biotechnology	sc-10368	C-18	polyclonal	NA	primary	human|mouse|rat	pancreatic epsilon cell	NA	dilution: 0.198 ug/ml	goat
Anti-Human CD326/EpCAM (9C4) Antibody	PMID27732837	Contact	AB_2687653	NA	EpCAM	Pr141	cytometry time of flight assay	5	3.3	ul/ml	Table S1	NA	Fluidigm	3141006B	9C4	monoclonal	NA	primary	human	epithelial cell	NA	dilution: 3.3 ul/ml	
CASPASE3 (Cleaved) antibody	PMID27732837	Contact		NA	CASPASE3 (Cleaved)	Nd142	cytometry time of flight assay	5	0.25	ul/ml	Table S1	NA	Fluidigm	3142004A			NA	primary	human		NA	dilution: 0.25 ul/ml	
GATA2 monoclonal antibody (M01), clone 2D11	PMID27732837	Contact	AB_489737	NA	GATA2	Nd145	cytometry time of flight assay	5	0.0875	ug/ml	Table S1	NA	Abnova Corporation	H00002624-M01		monoclonal	NA	primary	human		NA	dilution: 0.0875 ug/ml	mouse
Anti-pStat5 [Y694] (47) antibody	PMID27732837	Contact	AB_2744690	NA	pSTAT5	Nd150	cytometry time of flight assay	5	0.5	ul/ml	Table S1	NA	Fluidigm	3150005A	47	monoclonal	NA	primary	human|mouse|rat		NA	dilution: 0.5 ul/ml	mouse
Axin 2 antibody	PMID27732837	Contact	AB_2290204	NA	AXIN2	Gd156	cytometry time of flight assay	5	0.15	ug/ml	Table S1	NA	Abcam	ab32197		polyclonal	NA	primary	human|mouse|rat		NA	dilution: 0.15 ug/ml	rabbit
Anti-pStat3 [Y705] (4/P-Stat3)-158Gd antibody	PMID27732837	Contact	AB_2661827	NA	pSTAT3	Gd158	cytometry time of flight assay	5	0.5	ul/ml	Table S1	NA	Fluidigm	3158005 also 3158005A	4/P-Stat3		NA	primary	human		NA	dilution: 0.5 ul/ml	
CYP26A1 (F27 P6 A1) antibody	PMID27732837	Contact	AB_2089263	NA	CYP26A1	Tb159	cytometry time of flight assay	5	0.085	ug/ml	Table S1	NA	Santa Cruz Biotechnology	sc-53618		monoclonal	NA	primary	human		NA	dilution: 0.085 ug/ml	mouse
PDGFRA antibody	PMID27732837	Contact		NA	PDGFRA	Gd160	cytometry time of flight assay	5	0.5	ul/ml	Table S1	NA	Fluidigm	3160007A			NA	primary	human		NA	dilution: 0.5 ul/ml	
CD9 antibody	PMID27732837	Contact	AB_657777	NA	CD9	Dy163	cytometry time of flight assay	5	0.19	ug/ml	Table S1	NA	Thermo Fisher Scientific	14-0098		monoclonal	NA	primary	human		NA	dilution: 0.19 ug/ml	
CD49F antibody	PMID27732837	Contact	AB_2756289	NA	CD49F	Dy164	cytometry time of flight assay	5	1	ul/ml	Table S1	NA	Fluidigm	3164006B		monoclonal	NA	primary	human		NA	dilution: 1 ul/ml	
Anti-pCREB [S133] (87G3)-165Ho antibody	PMID27732837	Contact	AB_2661832	NA	pCREB	Ho165	cytometry time of flight assay	5	0.1	ul/ml	Table S1	NA	Fluidigm	3165009 also 3165009A	87G3		NA	primary	human		NA	dilution: 0.1 ul/ml	
Anti-Human CD44 (BJ18)-166Er antibody	PMID27732837	Contact	AB_2744692	NA	CD44	Er166	cytometry time of flight assay	5	1	ul/ml	Table S1	NA	Fluidigm	3166001B	BJ18	monoclonal	NA	primary	human		NA	dilution: 1 ul/ml	mouse
Anti-pERK1/2 [T202/Y204] (D1314.4E)-167Er antibody	PMID27732837	Contact	AB_2661834	NA	pERK	Er167	cytometry time of flight assay	5	3.3	ul/ml	Table S1	NA	Fluidigm	3167005 also 3167005A	D1314.4E		NA	primary	human		NA	dilution: 3.3 ul/ml	
Anti-Ki-67 (B56)-168Er antibody	PMID27732837	Contact	AB_2800467	NA	Ki67	Er168	cytometry time of flight assay	5	5	ul/ml	Table S1	NA	Fluidigm	3168007B	B56	monoclonal	NA	primary	human		NA	dilution: 5 ul/ml	mouse
HNF1B antibody	PMID27732837	Contact		NA	HNF1B	Er170	cytometry time of flight assay	5	2	ug/ml	Table S1	NA	Santa Cruz Biotechonlogy	sc- 22840x			NA	primary	human		NA	dilution: 2 ug/ml	
PDX1 antibody	PMID27732837	Contact	AB_2162373	NA	PDX1	Yb171	cytometry time of flight assay	5	0.62	ug/ml	Table S1	NA	Santa Cruz Biotechonlogy	sc-14664		polyclonal	NA	primary	human		NA	dilution: 0.62 ug/ml	
pS6 antibody	PMID27732837	Contact		NA	pS6	Yb172	cytometry time of flight assay	5	1	ul/ml	Table S1	NA	Fluidigm	3172008A			NA	primary	human		NA	dilution: 1 ul/ml	
ST8SIA1 antibody	PMID27732837	Contact		NA	ST8SIA1	Yb174	cytometry time of flight assay	5	0.19	ug/ml	Table S1	NA					NA	primary	human		NA	dilution: 0.19 ug/ml	
IdU antibody	PMID27732837	Contact		NA	IdU	IdU127	cytometry time of flight assay	5	1:1000	culture medium	Table S1	NA	Fluidigm	201127			NA	primary	human		NA	dilution: 1:1000 culture medium	
Cisplatin antibody	PMID27732837	Contact		NA	Cisplatin	Pt195	cytometry time of flight assay	5	1:4000	culture medium	Table S1	NA	Fluidigm	201064			NA	primary	human		NA	dilution: 1:4000 culture medium	
