Name	DefiningManuscriptId	Role	RRID	Description	Antigen	AntibodyConjugate	Applications	Rating	Dilution	DilutionUnits	Source	Uniprot	VendorName	VendorCat	CloneName	Clonality	IsoType	Type	AntigenSpecies	TargetCells	PositiveControl	UsageNotes	RaisedIn
Purified anti-human CD8a antibody	PMID29605184	Contact	AB_314120		CD8a		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	301002	Clone RPA-T8	monoclonal		primary	chimpanzee|cynomolgus|rhesus|macaque|human				mouse
Purified anti-human CD64 antibody	PMID29605184	Contact	AB_314486		CD64		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	305002	Clone 10.1	monoclonal		primary	chimpanzee|cynomolgus|rhesus|human				mouse
Purified anti-human CD23 antibody	PMID29605184	Contact	AB_1279181		CD23		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	338502	Clone EBVCS-5	monoclonal		primary	human				mouse
Purified anti-human CD68 antibody	PMID29605184	Contact	AB_1089058		CD68		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	333802	Clone Y1/82A	monoclonal		primary	human				mouse
Purified anti-human CD36 antibody	PMID29605184	Contact	AB_2563745		CD36		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	336215	Clone 5-271	monoclonal		primary	human				mouse
Purified anti-human CD4 antibody	PMID29605184	Contact	AB_314070		CD4		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	300502	Clone RPA-T4	monoclonal		primary	chimpanzee|cynomolgus|human				mouse
CD20 antibody	PMID29605184	Contact	AB_396030		CD20		cytometry time of flight assay 	5			Key Resources Table		BD Biosciences 	555677		monoclonal		primary	human				mouse
Purified anti-CD68 antibody	PMID29605184	Contact	AB_2616797		CD68		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	916104	Clone KP1	monoclonal		primary	human				mouse
CD20 Monoclonal Antibody (L26)	PMID29605184	Contact	AB_10734340		CD20		cytometry time of flight assay 	5			Key Resources Table		Thermo Fisher Scientific 	14-0202-82	Clone L26	monoclonal		primary	human				mouse
Purified anti-human CD123 antibody	PMID29605184	Contact	AB_314576		CD123		cytometry time of flight assay 	5			Key Resources Table		BioLegend 	306002	Clone 6H6	monoclonal		primary	rhesus|human				mouse
