Name	DefiningManuscriptId	Role	RRID	Description	Antigen	AntibodyConjugate	Applications	Rating	Dilution	DilutionUnits	Source	Uniprot	VendorName	VendorCat	CloneName	Clonality	IsoType	Type	AntigenSpecies	TargetCells	PositiveControl	UsageNotes	RaisedIn
HLA-ABC antibody	PMID30713110	Producer			HLA-ABC		cytometry time of flight assay	5	6.13	ng/ul	Table S1 of defining manuscript	https://www.uniprot.org/uniprot/O19689						primary	human			Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD57 antibody	PMID30713110	Contact			CD57		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3142007B				primary	human	mature natural killer cell|CD8-positive, alpha-beta T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD31 antibody	PMID30713110	Producer			CD31		cytometry time of flight assay	5	1.57	ng/ul	Table S1 of defining manuscript	https://www.uniprot.org/uniprot/P16284						primary	human	endothelial cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD14 antibody	PMID30713110	Contact			CD14		cytometry time of flight assay	5	1:200		Table S1 of defining manuscript	https://www.uniprot.org/uniprot/P08571	Fluidigm	3144025D				primary	human	monocyte|macrophage		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
C-peptide antibody	PMID30713110	Producer			C-peptide		cytometry time of flight assay	5	0.34	ng/ul	Table S1 of defining manuscript							primary	human	type B pancreatic cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Nestin antibody	PMID30713110	Contact			Nestin		cytometry time of flight assay	5	1:300		Table S1 of defining manuscript	https://www.uniprot.org/uniprot/P48681	Fluidigm	3146015B				primary	human	endothelial cell|stromal cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Glucagon antibody	PMID30713110	Producer			Glucagon		cytometry time of flight assay	5	2.4	ng/ul	Table S1 of defining manuscript							primary	human	pancreatic A cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Pan-Keratin antibody	PMID30713110	Contact			Pan-Keratin		cytometry time of flight assay	5	1:800		Table S1 of defining manuscript		Fluidigm	3148020D				primary	human	pancreatic ductal cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD11b antibody	PMID30713110	Contact			CD11b		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript	https://www.uniprot.org/uniprot/P11215	Fluidigm	3149028D				primary	human	granulocyte|monocyte|macrophage|dendritic cell, human		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD44 antibody	PMID30713110	Contact			CD44		cytometry time of flight assay	5	1:200		Table S1 of defining manuscript		Fluidigm	3150018B				primary	human	pancreatic ductal cell|leukocyte		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
PDX-1 antibody	PMID30713110	Producer			PDX-1		cytometry time of flight assay	5	0.54	ng/ul	Table S1 of defining manuscript							primary	human	type B pancreatic cell|pancreatic ductal cell|pancreatic D cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD45 antibody	PMID30713110	Contact			CD45		cytometry time of flight assay	5	1:300		Table S1 of defining manuscript		Fluidigm	3152016D				primary	human	leukocyte		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD56 antibody	PMID30713110	Producer			CD56		cytometry time of flight assay	5	4.04	ng/ul	Table S1 of defining manuscript							primary	human	CD56-positive, CD161-positive immature natural killer cell|mature NK T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Β-ACTIN antibody	PMID30713110	Contact			Β-ACTIN		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3154021D				primary	human	epithelial cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
FOXP3 antibody	PMID30713110	Contact			FOXP3		cytometry time of flight assay	5	1:25		Table S1 of defining manuscript		Fluidigm	3155016D				primary	human	CD8-positive, alpha-beta regulatory T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD4 antibody	PMID30713110	Contact			CD4		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3156033D				primary	human	CD4-positive, alpha-beta T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
NKX6.1 antibody	PMID30713110	Producer			NKX6.1		cytometry time of flight assay	5	0.94	ng/ul	Table S1 of defining manuscript							primary	human	type B pancreatic cell|pancreatic ductal cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD68 antibody	PMID30713110	Contact			CD68		cytometry time of flight assay	5	1:300		Table S1 of defining manuscript		Fluidigm	3159035D				primary	human	monocyte|macrophage		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Somatostatin antibody	PMID30713110	Producer			SOMATOSTATIN		cytometry time of flight assay	5	1.26	ng/ul	Table S1 of defining manuscript							primary	human	pancreatic D cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD20 antibody	PMID30713110	Contact			CD20		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3161029D				primary	human	type B pancreatic cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD8 antibody	PMID30713110	Contact			CD8		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3162034D				primary	human	CD8-positive, alpha-beta regulatory T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD99 antibody	PMID30713110	Producer			CD99		cytometry time of flight assay	5	3.11	ng/ul	Table S1 of defining manuscript							primary	human	pancreatic ductal cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CA2 antibody	PMID30713110	Producer			CA2		cytometry time of flight assay	5	2.5	ng/ul	Table S1 of defining manuscript							primary	human	pancreatic ductal cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
NF-κB antibody	PMID30713110	Contact			NF-κB		cytometry time of flight assay	5	1:300		Table S1 of defining manuscript		Fluidigm	3166006A				primary	human	pancreatic ductal cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Granzyme B antibody	PMID30713110	Contact			Granzyme B		cytometry time of flight assay	5	1:600		Table S1 of defining manuscript		Fluidigm	3167021D				primary	human	macrophage|mature natural killer cell|cytotoxic T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Ki67 antibody	PMID30713110	Contact			Ki67		cytometry time of flight assay	5	1:300		Table S1 of defining manuscript		Fluidigm	3168022D				primary	human			Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Collagen type I antibody	PMID30713110	Contact			Collagen type I		cytometry time of flight assay	5	1:200		Table S1 of defining manuscript		Fluidigm	3169023D				primary	human	stroma of pancreas		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD3 antibody	PMID30713110	Contact			CD3		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3170019D				primary	human	alpha-beta T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
pS6 antibody	PMID30713110	Contact			pS6		cytometry time of flight assay	5	1:100		Table S1 of defining manuscript		Fluidigm	3172008A				primary	human	pancreatic acinar cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
CD45RO antibody	PMID30713110	Contact			CD45RO		cytometry time of flight assay	5	1:300		Table S1 of defining manuscript		Fluidigm	3173016D				primary	human	memory T cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
HLA-DR antibody	PMID30713110	Producer			HLA-DR		cytometry time of flight assay	5	5.36	ng/ul	Table S1 of defining manuscript							primary	human			Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Pancreactic polypeptide antibody	PMID30713110	Producer			Pancreactic polypeptide		cytometry time of flight assay	5	8.41	ng/ul	Table S1 of defining manuscript							primary	human	pancreatic PP cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
Ghrelin antibody	PMID30713110	Producer			Ghrelin		cytometry time of flight assay	5	4.04	ng/ul	Table S1 of defining manuscript							primary	human	pancreatic epsilon cell		Antibodies are all tested in FFPE section with antigen retrieval at 95C in 10mM Tris, 1mM EDTA (pH9.2).	
