Name	DefiningManuscriptId	Description	Tech	OBI_ERO	Category	DB	ACC	URL	CellTissue	CellLine	Species	DOIDTerm	GOTerm	Value	Other	Notes
RNA-seq of five purified cell types: mature α-cells, mature β-cells, α-cells 30 days after diphtheria toxin (DT) ablation, α-cells ectopically expressing PDX1, and α-cells expressing PDX1.	30361701		RNA-seq	OBI_0001271	Transcriptomics	GEO	GSE109285	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109285	type B pancreatic cell|pancreatic A cell		mouse		transdifferentiation	4		
RNA-seq of thymic tuft cells in in C57BL/6 and Aire-/- mice	30022164	Tuft cells were identified as CD11c-;CD45-;EpCAM+;IL-25+ using Flare25 reporter mice. The data were used to investigate thymic tuft cell heterogeneity with and without AIRE protein expression.	RNA-seq	OBI_0001271	Transcriptomics	GEO	GSE114895	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114895	brush cell		mouse			5		
RNA-seq of tuft cells in the epithelia of thymus and small intestine.	30022164	Tuft cells were identified as CD11c-;CD45-;EpCAM+;IL-25+ using Flare25 reporter mice. As a control, non-tuft epithelial cells (CD45-;EpCAM+;IL-25-) were also isolated. The data were used to compare tuft cell markers between the small intestine and thymus.	RNA-seq	OBI_0001271	Transcriptomics	GEO	GSE114668	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114668	brush cell		mouse			5		
RNA-seq of sorted medullary thymic epithelial cell (mTEC) subsets in inducible Aire-CreERT2.R26-Stopfl-tdTomato lineage tracing mice after a pulse chase	30022164	Four cell subsets were sorted 7 days after a single 2mg pulse of tamoxifen administered by oral gavage. The data were used to identify differentially expressed genes across the four mTEC subsets to examine mTEC heterogeneity and identify novel mTEC subpopulations.	RNA-seq	OBI_0001271	Transcriptomics	GEO	GSE114651	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114651	medullary thymic epithelial cell		mouse			3		
RNA-seq of whole human Islets from three different donors in response to vehicle (DMSO), harmine, LY or the Harmine+LY combination	30581122		RNA-seq	OBI_0001271	Transcriptomics		Alternate accession		islet of Langerhans		human			3	https://ars.els-cdn.com/content/image/1-s2.0-S1550413118307423-mmc2.xlsx	
Raw and processed imaging mass cytometry (IMC) data from an asay using a panel of 37 antibodies, of pancreas sections from 12 human donors at different stages of type 1 diabetes	30713109		Imaging cytometry	ERO_0001655	Cellomics	Mendeley	https://doi.org/10.17632/cydmwsfztj.1	https://doi.org/10.17632/cydmwsfztj.1	pancreas		human			4		
(Series 1) Raw image data from imaging mass cytometry assay using a panel of 33 antibodies, of 12 pancreata obtained from donors with clinically diagnosed T1D and 6 pancreata from non-diabetic controls	30713110	The assay panel quantifies key cell types including pancreatic exocrine cells, islet cells, immune cells, and stromal components. Image resolution is 1 μm per pixel.	Imaging cytometry	ERO_0001655	Cellomics	Mendeley	https://dx.doi.org/10.17632/9b262xmtm9.1	https://dx.doi.org/10.17632/9b262xmtm9.1	pancreatic endocrine cell|pancreas exocrine glandular cell|leukocyte|stromal cell of pancreas		human			4		
(Series 2) Raw image data from imaging mass cytometry assay using a panel of 33 antibodies, of 12 pancreata obtained from donors with clinically diagnosed T1D and 6 pancreata from non-diabetic controls	30713110	The assay panel quantifies key cell types including pancreatic exocrine cells, islet cells, immune cells, and stromal components. Image resolution is 1 μm per pixel.	Imaging cytometry	ERO_0001655	Cellomics	Mendeley	https://dx.doi.org/10.17632/xbxnfg2zfs.1	https://dx.doi.org/10.17632/xbxnfg2zfs.1	pancreatic endocrine cell|pancreas exocrine glandular cell|leukocyte|stromal cell of pancreas		human			4		
RNA-seq of NTPDase3-based FACS-sorted human control and T1D alpha cells from five non-diabetic control donors and three T1D donors	30449685		RNA-seq	OBI_0001271	Transcriptomics	GEO	GSE106148	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	pancreatic A cell		human	type 1 diabetes mellitus		3		
RNA-seq of NTPDase3-based FACS-sorted human beta cells from 5 non-diabetic control donor samples	30449685		RNA-seq	OBI_0001271	Transcriptomics	GEO	GSE116559	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	type B pancreatic cell		human			3		
