Name	DefiningManuscriptId	Description	Tech	Tech	OBI_ERO	Category	DB	ACC	URL	CellTissue	CellLine	Species	DOIDTerm	GOTerm	Value	Other	Notes
Transcription profiling of mouse pancreas in a developmental time series	12086925	Study to evaluate the expression of pancreas-specific genes at different developmental time points.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE109285	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109285	type B pancreatic cell|pancreatic A cell		mouse		transdifferentiation	4		
Transcription profiling of Foxa2 knock-outs in mice to better define the role of this gene in glucose homeostasis	15314688	Study to further characterize the genetic and functional consequence of the beta cell-specific ablation of Foxa2 (hepatocyte nuclear factor 3 beta, HNF-3b) in mice to better define the role of this gene in glucose homeostasis. The study involved 8 two-channel assays on UPenn Mouse PancChip 4.0, each consisting of a competitive mutant vs control hybridization. 4 control and 4 Foxa2loxP/loxP;Ins.CRE RNA samples were hybridized to the array using a dye-swap design. (The results from one of these assays had to be discarded from the analyses, so 7 assays were used.)	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE114895	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114895	brush cell		mouse			5		
Transcription profiling of cultured normal human islet tissue, islets treated with interferon alpha 2 beta, islet-depleted exocrine pancreas, pancreas, liver and kidney tissue	15231694	The purpose of this study was to identify mRNA transcripts encoding tissue restricted cell surface proteins on human islet tissue that, in turn, might serve as markers for determination of healthy, transplanted and/or diseased islet cell mass.  Using oligonucleotide microarrays and clinical grade human islets, we obtained the gene expression profiles of cultured normal islet tissue and compared them to profiles of islets treated with interferon alpha 2 beta, islet-depleted exocrine pancreas, pooled whole pancreas, pooled liver and pooled kidney tissue.  Data set filtering and comparisons of gene expression patterns revealed a small set of genes corresponding to transmembrane or membrane associated proteins with limited tissue distributions (present in Islets of Langerhans and, often, central or peripheral nervous system tissues, but absent from exocrine pancreas, liver, kidney and other tissues) with possible utility as novel islet markers.  Under the influence of IFN alpha, some of these transcripts show differential expression as confirmed by real time PCR.  In addition, we found significant differential expression of two sets of transcripts expressed in islets but with broad tissue distributions, non classical MHC class I b  (HLA-G and F) and MHC Class II locus (e.g. HLA-DR alpha and HLA-DQ alpha and beta).	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE114668	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114668	brush cell		mouse			5		
Transcription profiling of wild type and foxA1 null mice	17185391	The aim of this experiment was to use microarray analysis to examine the phenotype of the foxA1 (HNF3alpha) null mouse. foxA1 has a central role in the regulatory control of islet genes essential for glucose homeostasis in vivo.  Previous studies have shown that the foxA1 null mouse demonstrates severe postnatal growth retardation followed by death between P2 and P12. These mutant mice are hypoglycemic despite unchanged expression of foxA1 target genes involved in hepatic gluconeogenesis. foxA1 is known to bind to and transactivate the proglucagon gene promoter and mice null for this gene have a 70% reduction in pancreatic proglucagon gene expression and plasma glucagon levels are reduced markedly.  Marco Vatamaniuk from Klaus Kaestner Lab extracted RNA from isolated islets.  Three biological replicates were provided for both the WT and Null.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE114651	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114651	medullary thymic epithelial cell		mouse			3		
Transcription profiling of rat insulinoma (INS-1 derived) cell lines that vary in their glucose responsiveness	17185391	The aim of this study was to identify the gene expression changes associated with glucose responsiveness in Rat INS-1 derived cell lines.  RNA was prepared from cell lines which were shown to be highly glucose responsive and also lines which were shown to be poorly glucose responsive.  Dr. Chris Newgard's lab quantified the RNA and sent it frozen in water. 3 biological replicates per condition were sent for the following conditions: (i) 832/13 and 833/15, robust glucose responsiveness; (ii)832/1 and 832/2 showed poor glucose responsiveness.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics		Alternate accession		islet of Langerhans		human			3	https://ars.els-cdn.com/content/image/1-s2.0-S1550413118307423-mmc2.xlsx	
Transcription profiling of rat insulinoma (INS-1 derived) cells grown in lipid culture	17185391	This experiment was designed to study the effects of lipid culture on INS-1 derived glucose-responsive 832/13 cells.  After 48-hr culture with lipids, a dramatic decrease in glucose-responsiveness is observed.  In order to detect some earlier changes, RNA was also collected at earlier time points (12 hr and 24 hr).   To compensate for any changes associated with cell density, control cells (1%BSA culture) were included for each time point.  RNA was prepared from INS-1 cells in Dr. Chris Newgard's lab, quantified and sent frozen in water. Six biological replicates were sent for the following conditions: (i) 1%BSA (12, 24, and 48 hours) (ii) 1mM-Oleate/Palmitate (12, 24, and 48 hours).	Imaging cytometry	transcription profiling by array	ERO_0001655	Cellomics	Mendeley	https://doi.org/10.17632/cydmwsfztj.1	https://doi.org/10.17632/cydmwsfztj.1	pancreas		human			4		
Transcription profiling of cells from four developmental stages of human endocrine pancreas to define genetic pathways that regulate endocrine pancreatic development	14660441	To define genetic pathways that regulate development of the endocrine pancreas, we generated transcriptional profiles of enriched cells isolated from four biologically significant stages of endocrine pancreas development: endoderm before pancreas specification, early pancreatic progenitor cells, endocrine progenitor cells and adult islets of Langerhans. These analyses implicate new signaling pathways in endocrine pancreas development, and identified sets of known and novel genes that are temporally regulated, as well as genes that spatially define developing endocrine cells from their neighbors. The differential expression of several genes from each time point was verified by RT-PCR and in situ hybridization. Moreover, we present preliminary functional evidence suggesting that one transcription factor encoding gene (Myt1), which was identified in our screen, is expressed in endocrine progenitors and may regulate alpha, beta and delta cell development. In addition to identifying new genes that regulate endocrine cell fate, this global gene expression analysis has uncovered informative biological trends that occur during endocrine differentiation.	Imaging cytometry	transcription profiling by array	ERO_0001655	Cellomics	Mendeley	https://dx.doi.org/10.17632/9b262xmtm9.1	https://dx.doi.org/10.17632/9b262xmtm9.1	pancreatic endocrine cell|pancreas exocrine glandular cell|leukocyte|stromal cell of pancreas		human			4		
Transcription profiling of mouse pancreatic duct cell lines infected with Ngn3-expressing adenovirus	15340143	We have developed an in vitro model of Ngn3-dependent differentiation by infecting pancreatic duct cell lines with an Ngn3-expressing adenovirus. We used glass microarrays containing 18,000 mouse cDNAs and compared gene expression patterns in mPAC L20 cells infected with either AdCMV-gal (control) or AdCMV-ngn3. All comparisons were performed 48 h after viral infection, meaning that genes differentially expressed in Ngn3-expressing mPAC cells could include genes whose expression was directly or indirectly controlled by Ngn3.	Imaging cytometry	transcription profiling by array	ERO_0001655	Cellomics	Mendeley	https://dx.doi.org/10.17632/xbxnfg2zfs.1	https://dx.doi.org/10.17632/xbxnfg2zfs.1	pancreatic endocrine cell|pancreas exocrine glandular cell|leukocyte|stromal cell of pancreas		human			4		
Transcription profiling of mouse islet growth after partial pancreatectomy and exendin-4 Treatment	16410542	Diabetes mellitus results from an inadequately functioning beta-cell mass.  In the adult pancreas, beta-cell mass is dynamic, increasing to meet metabolic demands and decreasing with metabolic or injury insults. Exendin-4 (Ex-4) is a glucagon-like peptide-1 receptor agonist that augments beta-cell mass by increasing beta-cell neogenesis and proliferation and by reducing apoptosis. We utilized a cDNA microarray approach to identify genes that are differentially regulated during islet growth after Ex-4 treatment or a partial pancreatectomy (Ppx). Mice underwent 50% Ppx or sham operation and received Ex-4 or vehicle every 24 hours. cDNA prepared from total pancreatic RNA isolated at 12, 24 and 48 hrs after surgery was hybridized to the PancChip 4.0 microarray.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE106148	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	pancreatic A cell		human	type 1 diabetes mellitus		3		
Transcription profiling of rat pancreatic beta-cells in response to double stranded RNA and IFNgamma exposure	14600816	Viral infections and local production of IFNgamma might contribute to beta-cell dysfunction/death in Type 1 diabetes. Double stranded RNA accumulates in the cytosol of viral-infected cells, and exposure of purified rat beta cells to dsRNA (polyinosinic-polycytidylic acid, PIC) in combination with IFNgamma results in beta-cell dysfunction and apoptosis.  To elucidate the molecular mechanisms involved in PIC + IFNgamma-effects, we determined the global profile of genes modified by these agents in primary rat beta cells.  FACS-purified rat beta cells were cultured for 6 or 24 h in control condition or with IFNgamma, PIC or a combination of both agents. The gene expression profile was analyzed in duplicate with the Affymetrix RG U34A microarray.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE116559	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	type B pancreatic cell		human			3		
