Notes	DefiningManuscriptId	Role	Name	Type	Description	RRID	AssayCategory	Applications	Dependencies	CompatibleTools	CellsTestedWith	BioSampleType	Url
	PMID28974764	Producer	Magnetic bead assay for mechanical stimulation of endothelial cells	Assay	The assay mechanically stimulates endothelial cells using thrombin-coated magnetic beads that are manipulated by rare earth magnets. It can more specifically study the effects of mechanical stimulation compared to using soluble signaling factors. Moreover, somewhat variable static and dynamic stimulation studies can be implemented by adjusting the placement and rotation speeds of the magnets.		ERO_0000401	ERO_0001067		ERO_0000462	CL_0002618|CL_0002553	human|mouse	
	PMID28974764	Producer	Bead displacement algorithm for analyzing mechanical behavior of fibroblasts	CodePipeline	MATLAB algorithm used for analyzing results from mechanical stimulation magnetic bead assay. The algorithm was able to capture long-term extracellular matrix deformation resulting from fibroblast behavior.			ERO_0100121					
	PMID28974764	Producer	Vasculogenic ring assay 	Assay	The assay concept is embedding a 1:1 ratio of endothelial cells and fibroblasts in a fibrin gel to study vessel formation in vitro and in 3D. Fibrin density of the gel can be varied. After 7 days, vessel growth (ring) can be analyzed and imaged by staining the hydrogels for the endothelial marker CD31. Soluble VEGF produced during the ring assay can be measured using VEGF Human ELISA Kit. VEGF signaling can be inhibited by adding a small molecule inhibitor of VEGFR, SU-5402.		ERO_0001282				CL_0002618|CL_0002553	human|mouse	
	PMID29434325	Producer	CellCycleTRACER (mass cytometry assay method for deconfounding cell-cycle and cell-volume effects)	Assay	CellCycleTRACER is a combined experimental and computational method to account for the often confounded factors cell cycle and cell volume in mass cytometry data. Resolving cell heterogeneity caused by either cell-cycle state or cell volume in single-cell transcriptomic data has relied on statistical analysis using known cell-cycle genes. For mass cytometry, there is so far a more limited selection of available informative markers related to cell cycle and volume. As an assay method, CellCycleTRACER exploits four cell-cycle markers recently identified by Behbehani et al. 2012 (phosphorylated histone H3, phosphorylated retinoblastoma,  cyclin B1, and 5-Iodo-2′-deoxyuridine) to distinguish cell populations in different cell-cycle states. For measuring cell volume, CellCycleTRACER uses the ruthenium complex ASCQ_Ru. CellCycleTRACER may be particularly important when heterogeneous cell populations with deregulated cellular processes, as typically found in tumors, are analyzed.		OBI_0001977						
	PMID29434325	Producer	CellCycleTRACER (algorithm for cell-cycle and cell-volume correction in mass cytometry data)	CodePipeline	CellCycleTRACER is a supervised machine-learning algorithm that classifies and sorts single-cell mass cytometry data according to their cell cycle, which allows us to correct for cell-cycle-state and cell-volume heterogeneity. (Also see CellCycleTRACER in Assays). It is downloadable and also implemented as a simple and intuitive graphical user interface and can be applied to any mass cytometry dataset.	RRID:SCR_017128	ERO_0000401 	OBI_0000666					https://www.zurich.ibm.com/cellcycletracer/
	PMID29491378	Producer	nanoPOTS (nanodroplet processing in one pot for trace samples) platform for deep and quantitative proteome profiling of 10-100 cells	DeviceEquipment 	NanoPots is a nanoliter-scale sample preparation system that enhances the efficiency and recovery of sample processing by downscaling processing volumes to <200 nL to minimize surface losses. When combined with ultrasensitive liquid chromatography-MS, nanoPOTS allows identification of ~1500 to ~3000 proteins from ~10 to ~140 cells, respectively. By incorporating the Match Between Runs algorithm of MaxQuant, >3000 proteins are consistently identified from as few as 10 cells. NanoPOTS has been used for spatially resolved proteome measurements from clinical tissues from type 1 diabetics and control donors.	RRID:SCR_017129	OBI_0000051		OBI_0001057|OBI_0000049				
	PMID29605184 	Producer	Bead-based compensation of signal spillover in suspension and imaging mass cytometry	Assay	This novel bead-based compensation approach estimates and corrects for interference between mass cytometry channels. The method simplifies development of new antibody panels, increases flexibility for antibody-metal pairing, opens the way to using less pure isotopes, and improves overall data quality. Based on the same idea in flow cytometry, controls stained with single antibodies are used to estimate signal crosstalk. In application, control samples stained with individual antibodies can be generated by staining polystyrene antibody-capture beads.		OBI_0001977 	ERO_0001718|ERO_0001309					
	PMID29605184 	Producer	CATALYST R/Bioconductor package	CodePipeline	The R/Bioconductor package implements several data processing steps for the bead-based compensation method to semi-automate spillover correction in mass cytometry (see details in Assay). First, the FCS file containing data on the bead sample is deconvoluted to identify the individual single-antibody-positive bead populations using a new R implementation of the debarcoding algorithm from Zunder et al. 2015. Then the spillover matrix is calculated based on the spillover observed for single-stained populations. Finally, the calculated compensation matrix is applied to the bead and cell samples to remove interfering signals. There is also a Shiny web application to provide an even friendlier user interface to the data processing pipeline.			OBI_0000666|ERO_0001309					https://bioconductor.org/packages/CATALYST
	PMID29605184 	Producer	CATALYSTLite (R Shiny public web application)	SoftwareDb 	CATALYSTLite is the interactive Shiny web application that provides a convenient user interface to the mass cytometry data processing pipeline implemented in the CATALYST R/Bioconductor package. It may be preferable for quick startup use on smaller datasets, since one difference is a limit on data upload size.	RRID:SCR_017126							https://imlspenticton.uzh.ch:3838/CATALYSTLite/
	PMID29605184 	Producer	Custom CellProfiler plugins	CodePipeline	ImcPluginsCP contains a selection of CellProfiler modules that facilitate handling, processing as well as measurement of multiplexed data. It was primarily written with imaging mass cytometry (IMC) data for a Ilastik based image segmentation workflow. Many modules are slightly modified versions of CellProfiler modules.								https://github.com/BodenmillerGroup/ImcPluginsCP
	PMID29605184 	Producer	imctools	CodePipeline	Python package that implements a preprocessing pipeline for imaging mass cytometry (IMC) data. For instance, it can convert raw files to .tiff files that can be used as input files for e.g. CellProfiller, Ilastik, Fiji etc.	RRID:SCR_017132  		ERO_0100306					https://github.com/BodenmillerGroup/imctools
	PMID29605184 	Producer	ImcSegmentationPipeline 	CodePipeline	A flexible image segmentation pipeline for heterogneous multiplexed tissue images based on pixel classification. The pipeline is based on CellProfiler (http://cellprofiler.org/, v1.3.5) for segmentation and Ilastik (http://ilastik.org/) for for pixel classification. It is streamlined by using the specially developped imctools python package (https://github.com/BodenmillerGroup/imctools) package as well as custom CellProfiler modules (https://github.com/BodenmillerGroup/ImcPluginsCP).			ERO_0000220					https://github.com/BodenmillerGroup/ImcSegmentationPipeline
	PMID29718662	Producer	Constant-distance Mode Nanospray Desorption Electrospray Ionization Mass Spectrometry (nano-DESI MSI)	DeviceEquipment 	This approach describes a modification to nano-DESI MSI that uses shear force microscopy to precisely control the distance between the sample and the nano-DESI probe. It allowed robust imaging of pancreatic islets with high spatial resolution of ~11 μm, overcoming limitations of traditional mass spec approaches. It also allowed lipidomics to be studied with spatial distribution information in invidual islets.	RRID:SCR_017130		ERO_0001626					
	PMID29941660	Producer	Automated sample transfer to nanodroplets for spatially resolved proteome mapping of laser capture microdissected tissue	DeviceEquipment 	An integrated and automated method that seamlessly couples laser capture microdissection (LCM) with nanoPOTS (Nanodroplet Processing in One pot for Trace Samples). The workflow is enabled by prepopulating nanowells with DMSO, which serves as a sacrificial capture liquid for microdissected tissues. The DMSO droplets efficiently collect laser-pressure catapulted LCM tissues as small as 20 μm in diameter with success rates >87%. Tissue treatment with DMSO can significantly improve proteome coverage, likely due to its ability to dissolve lipids from tissue and enhance protein extraction efficiency. The LCM-nanoPOTS platform was able to identify 180, 695, and 1827 protein groups on average from 12-μm-thick rat brain cortex tissue sections having diameters of 50, 100, and 200 μm, respectively.			OBI_0000051					
	PMID29925683 	Producer	Using hepatocyte-specific methylation markers in cell-free circulating DNA for monitoring liver damage	Assay	The method detects acute hepatocyte death based on quantification of circulating, cell-free DNA (cfDNA) fragments carrying hepatocyte-specific methylation patterns (3 genomic loci that are unmethylated specifically in hepatocytes). It can be used for detection after liver transplantation, during acute rejection of an established liver transplant, and also in healthy individuals after partial hepatectomy. Measurements correlate with traditional measurements of liver enzymes aspartate aminotransferase (AST) and alanine aminotransferase (ALT). Measurements of hepatocyte-derived cfDNA can provide specific and sensitive information on hepatocyte death, for monitoring human liver dynamics, disease, and toxicity.		OBI_0000634				CL_0000182	human	
	PMID30271983	Producer	cPRISM-SRM (carrier-assisted high-pressure, high-resolution separations with intelligent selection and multiplexing coupled to selected reaction monitoring)	Assay	"cPRISM-SRM is an extension of MS-based proteomic analysis with the key feature of being able to characterize low numbers of mammalian cells. Compared to current targeted MS methods,  CPRISM-SRM requires 3–4 orders of magnitude lower cell numbers. The method capitalizes on using ""carrier protein"" to assist processing of low numbers of cells with minimal loss, high-resolution PRISM separation for target peptide enrichment, and sensitive-targeted MS (SRM) for protein quantification. cPRISM-SRM has sufficient sensitivity to quantify proteins expressed at ≥200,000 copies per cell at the single-cell level and ≥3000 copies per cell in 100 mammalian cells. With further improvement cPRISM-SRM has the potential to move toward targeted MS-based single-cell proteomics."		OBI_0000470				CL_0002327		
