Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,achieves_objective,achieves_planned_objective,adjacent_to,age_at_time_of_sampling,agent_in,alternative term,antibody_produced_by,antisymmetric property,author_of,bearer_of,construct_backbone,contact_email,contained_in,contains,contributor,creator,curator note,database_cross_reference,date/time,definition,definition,definition source,DeprecatedProperty,derived_into,derives from (ro),derives_from_cell_line,derives_from_material_anatomical_entity,derives_from_organism,derives_from_organism_or_virus,derives_from_specimen,description,develops into,editor note,editor preferred term,example of usage,expand assertion to,expand expression to,expressed_in_organism,expresses_construct,first order logic expression,first_name,funded_by,funds,gene_cross_reactivity,has curation status,has grain,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has input,has obsolescence reason,has output,has_accession_number,has_affected_gene_entrez_id,has_affiliation,has_agent,has_alternative_id,has_antibody_registry_ID,has_antibody_target,has_application_toward,has_author,has_bacterial_host_strain,has_biosafety_level,has_CAS_number,has_catalog_number,has_clone_ID,has_co-developed_line,has_conjugate,has_contact,has_derived_specimen,has_diagnosis,has_diagnosis_description,has_director,has_documentation,has_eligibility_requirment,has_end_date,has_entrez_gene_id,has_expertise,has_format,has_function,has_gene_symbol,has_geographic_restriction,has_immunogenic_material,has_improper_part,has_InChI_key,has_infectious_history,has_input_type,has_insert_size,has_integral_part,has_inventory_number,has_IUPAC_name,has_lot_number,has_mammalian_phenotype,has_manufacturer,has_molecular_weight,has_narrow_synonym,has_obo_namespace,has_organization_member,has_output_type,has_parental_strain_name,has_part,has_participant,has_pathological_stage,has_phase,has_phenotype,has_phenotype_anatomical_entity,has_phenotype_annotation,has_phenotype_biological_process,has_phenotype_quality,has_phenotypic_sex,has_PI,has_potency,has_preparation_technique,has_producer_cell_type,has_producer_strain,has_proper_part,has_PubChem_CID,has_PubMed_ID,has_purity_grade,has_related_synonym,has_relationship_to_proband,has_residency_requirement,has_restriction,has_role,has_selectable_marker,has_sequence,has_sequence_alteration,has_software_license,has_source,has_specified_input,has_specified_output,has_start_date,has_study_population,has_tag,has_topic,has_uniPROT_ID,has_url,has_viability,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://eagle-i.org/ont/app/1.0/inPropertyGroup,http://eagle-i.org/ont/app/1.0/preferredDefinition,http://eagle-i.org/ont/app/1.0/preferredLabel,http://purl.obolibrary.org/obo/ERO_0002026,http://purl.obolibrary.org/obo/RO_0001900,http://purl.org/net/OCRe/statistics.owl#curator,http://purl.org/net/OCRe/study_protocol.owl#develop_comment,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#ObsoleteProperty,http://www.geneontology.org/formats/oboInOwl#replacedBy,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#bottomObjectProperty,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2002/07/owl#topObjectProperty,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,http://www.w3.org/2004/02/skos/core#notation,human_study_performed_by,implements,imported from,improper_part_of,in branch,in_subset,infects_target_organism,inheres in,integral_part_of,is denotator type,is_contact_for,is_director_of,is_encoded_in,is_manufactured_by,is_matching_specimen,is_member_of_organization,is_member_of_resource_collection,is_performed_by,is_PI_of,is_realized_by,is_specified_output_of,lab_data_format,lab_delivery_address,last_name,library_count,located_in,location of,mailing_address,matching_specimen,member of,model_number,model_of,objective_achieved_by,objective_achieved_by_operation,OBO foundry unique label,obsolete_is_member_of_family,obsolete_production_funded_by,obsolete_relationship_to_proband,occurs_in,operating_system,organism_generated_from_construct,originates_from_country,output_of,part_of,participates in,participates_in_human_study,performs,performs_human_study,phone_number,preceded_by,precedes,produced_by,produces,proper_part_of,provides_access_to,provides_service,realizes,realizes_protocol,recognizes_protein_uniprot_ID,recognizes_species,related_biological_specimen,related_cell_line,related_immunotechnique,related_research_project,related_technique,related_viral_construct,related_virus,relationship,role_of,scope note,service_provided_by,species_non_reactivity,specifies_the_use_of,target_modification,target_subregion,term editor,term replaced by,title,title (dce),transformation_of,transformed_into,used_by,used_to_generate_organism,used_to_study,uses,uses_software,version
http://purl.obolibrary.org/obo/ERO_0000242,robot arm,,A mechanical instrument that consists of an upper arm link and a lower arm link that are interconnected by a uniaxial joint. The upper arm link is connected with a structure via a universal joint.,false,,,http://purl.obolibrary.org/obo/ERO_0000004,,,,,,,,,,,,,,,,,,,,A mechanical instrument that consists of an upper arm link and a lower arm link that are interconnected by a uniaxial joint. The upper arm link is connected with a structure via a universal joint.,,http://www.google.com/patents/about?id=ZqcsAAAAEBAJ,,,,,,,,,,,,robot arm,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0000379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0000242,,,,,,,,,,,,,,,,,robot arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Karen Corday,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_8364,Xenopus (Silurana) tropicalis,western clawed frog|Xenopus tropicalis|Silurana tropicalis|Xenopus laevis tropicalis,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_8353,,,,,,western clawed frog|Xenopus tropicalis|Silurana tropicalis|Xenopus laevis tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCBITaxon:8364,,,,,,,,,,,,,,,,,Xenopus (Silurana) tropicalis,,,,,,,,http://purl.obolibrary.org/obo/ncbitaxon.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ERO_0001648,multidimensional protein identification technology ,MudPIT,"A protein assay used to identify proteins from complex mixtures. The technique consists of a 2-dimensional chromatography separation, prior to electrospray mass spectrometry. By exploiting a peptide's unique physical properties of charge and hydrophobicity, complex mixtures can be separated prior to sequencing by tandem MS. The first dimension is normally a strong cation exchange (SCX) column, as these have high loading capacities. The second dimension is reverse phase chromatography (RP), which complements the SCX as it is efficient at removing salts and has the added advantage of being compatible with electrospray mass spectrometry.",false,,,http://purl.obolibrary.org/obo/ERO_0001284,,,,,,MudPIT,,,,,,,,,,,,,,"A protein assay used to identify proteins from complex mixtures. The technique consists of a 2-dimensional chromatography separation, prior to electrospray mass spectrometry. By exploiting a peptide's unique physical properties of charge and hydrophobicity, complex mixtures can be separated prior to sequencing by tandem MS. The first dimension is normally a strong cation exchange (SCX) column, as these have high loading capacities. The second dimension is reverse phase chromatography (RP), which complements the SCX as it is efficient at removing salts and has the added advantage of being compatible with electrospray mass spectrometry.",,http://www.proteome.soton.ac.uk/mudpit.htm,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0001648,,,,,,,,,,,,,,,,,multidimensional protein identification technology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Scott Hoffmann,,,,,,,,,,,
http://purl.obolibrary.org/obo/ERO_0001912,interval,,,false,,,http://purl.obolibrary.org/obo/ERO_0001806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0001912,,,,,,,,,,,,,,,,,interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ERO_0001626,high resolution mass spectrometry,HR-MS,A mass spectrometry technique which generates data with improved resolution by better separation of peaks.,false,,,http://purl.obolibrary.org/obo/OBI_0000470,,,,,,HR-MS,,,,,,,,,,,,,,A mass spectrometry technique which generates data with improved resolution by better separation of peaks.,,http://en.wikipedia.org/wiki/Resolution_%28mass_spectrometry%29,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0001626,,,,,,,,,,,,,,,,,high resolution mass spectrometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Scott Hoffmann,,,,,,,,,,,
http://purl.obolibrary.org/obo/ERO_0001901,atomic mass spectrometry,,"A mass spectrometry assay that uses an ion source, a mass analyzer, and a detector. Atoms' identities are determined by their mass-to-charge ratio (via the mass analyzer) and their concentrations are determined by the number of ions detected. ",false,,,http://purl.obolibrary.org/obo/OBI_0000470,,,,,,,,,,,,,,,,,,,,"A mass spectrometry assay that uses an ion source, a mass analyzer, and a detector. Atoms' identities are determined by their mass-to-charge ratio (via the mass analyzer) and their concentrations are determined by the number of ions detected. ",,http://en.wikipedia.org/wiki/Atomic_spectroscopy,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0001901,,,,,,,,,,,,,,,,,atomic mass spectrometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Nicole Vasilevsky,,,,,,,,,,,
http://purl.obolibrary.org/obo/ERO_0001637,differential interference contrast microscopy,Nomarski microscopy|DIC microscopy|Nomarski interference contrast microscopy|NIC microscopy,"A microscopy technique used to enhance the contrast in unstained, transparent samples by using the principle of interferometry to gain information about optical path lengths through the sample.",false,,,http://purl.obolibrary.org/obo/ERO_0000201,,,,,,Nomarski microscopy|DIC microscopy|Nomarski interference contrast microscopy|NIC microscopy,,,,,,,,,,,,,,"A microscopy technique used to enhance the contrast in unstained, transparent samples by using the principle of interferometry to gain information about optical path lengths through the sample.",,http://en.wikipedia.org/wiki/Differential_interference_contrast_microscopy,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0001637,,,,,,,,,,,,,,,,,differential interference contrast microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Scott Hoffmann,,,,,,,,,,,
http://www.ebi.ac.uk/efo/swo/SWO_0000212,Hexagon binning algorithm,,,false,,,http://purl.obolibrary.org/obo/IAO_0000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hexagon binning algorithm,,,,,,,,http://purl.obolibrary.org/obo/swo.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001059,ELISA microplate reader,,A microplate reader that is used for enzyme-linked immunosorbent assays (ELISA).,false,,,http://purl.obolibrary.org/obo/OBI_0001058,,,,,,,,,,,,,,,,,,,,A microplate reader that is used for enzyme-linked immunosorbent assays (ELISA).,,PERSON: Erik Segerdell,,,,,,,,,,,,ELISA microplate reader,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0001059,,,,,,,,,,,,,,,,,ELISA microplate reader,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Erik Segerdell,,,,,,,,,,,
http://purl.obolibrary.org/obo/ERO_0000749,instrumentation planning,,An instrument and electronics design technique that involves planning of instrumentation design and fabrication.,false,,,http://purl.obolibrary.org/obo/ERO_0001294,,,,,,,,,,,,,,,,,,,,An instrument and electronics design technique that involves planning of instrumentation design and fabrication.,,PERSON: Nicole Vasilevsky,,,,,,,,,,,,,Equipment design and fabrication service provided by a lab.,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERO:0000749,,,,,,,,,,,,,,,,,instrumentation planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Nicole Vasilevsky,,,,,,,,,,,
