Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,2D boundary of,achieves_planned_objective,adjacent to,alternative term,antisymmetric property,bearer of,BFO CLIF specification label,BFO OWL specification label,bound_to,concretizes,contains process,Contributor,Coverage,Creator,curator note,Date,definition,definition source,denotes,derives from,derives into,Description,disposition of,editor note,editor preferred term~editor preferred label,elucidation,example of usage,expand assertion to,expand expression to,FGED alternative term,first order logic expression,Format,function of,has 2D boundary,has associated axiom(fol),has associated axiom(nl),has axiom label,has category label,has coordinate unit label,has curation status,has disposition,has disposition to bind,has function,has grain,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has measurement datum,has measurement unit label,has measurement value,has member,has obsolescence reason,has organization member,has part,has participant,has performer,has quality,has role,has specified numeric value,has specified value,has time stamp,has value specification,has x coordinate value,has y coordinate value,has z coordinate value,has_feature_value,has_specified_input,has_specified_output,has_supplier,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://www.geneontology.org/formats/oboInOwl#ObsoleteProperty,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2002/07/owl#minQualifiedCardinality,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/page,IEDB alternative term,immediately preceded by,immediately precedes,imported from,in branch,inheres in,is about,is allocated id range,is concretized as,is denotator type,is duration of,is grain of,is member of organization,is quality measured as,is quality measurement of,is quality specification of,is_manufactured_by,is_proxy_for,is_specified_input_of,is_specified_output_of,is_supported_by_data,ISA alternative term,label,Language,located in,location of,member of,mentions,NIAID GSCID-BRC alternative term,objective_achieved_by,OBO foundry unique label,obsolete_describes,obsolete_has_function,obsolete_has_quality,obsolete_has_role,obsolete_is_concretization_of,obsolete_is_concretized_as,obsolete_is_described_by,obsolete_is_realized_by,obsolete_materially denotes,obsolete_realizes,obsolete_represents,obsolete_results_from,obsolete_specifically denotes,obsoleted_has_specified_input_information,obsoleted_has_specified_output_information,obsoleted_is_device_for,obsoleted_is_reagent_in,obsoleted_is_specified_information_intput_of,obsoleted_is_specified_information_output_of,obsoleted_utilizes_device,obsoleted_utilizes_reagent,occurs in,ontology term requester,part of,participates in,preceded by,precedes,process is result of,provides_service_consumer_with,Publisher,quality is specified as,quality of,realized in,realizes,Relation,Resource Identifier,Resource Type,retired from use as of,Rights Management,role of,shorthand,Source,specifies value of,starts,Subject and Keywords,supplies,surrounded by,temporal interpretation,temporal relation,term editor,term replaced by,term tracker item,Title
http://purl.obolibrary.org/obo/OBI_1110204,epitope specific killing by T cells,,A biological process where T cells lyse antigen presenting cells resulting from the recognition of a T cell epitope on MHC molecules of the antigen presenting cell.,FALSE,,,http://purl.obolibrary.org/obo/GO_0001913,,,,,,,,,,,,,,,,,A biological process where T cells lyse antigen presenting cells resulting from the recognition of a T cell epitope on MHC molecules of the antigen presenting cell.,IEDB,,,,,,,epitope specific killing by T cells,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epitope specific killing by T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEDB,,,
http://purl.obolibrary.org/obo/UBERON_0001873,caudate nucleus,,"Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle. It is divided into a head, body and tail in some species.",FALSE,,,http://purl.obolibrary.org/obo/UBERON_0000477,,,,,,,,,,,,,,,,,"Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle. It is divided into a head, body and tail in some species.",,,,,,,,caudate nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBERON:0001873,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/uberon.owl,,,,,,,,,,,,,,,,,,,caudate nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0002096,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of T cells,proliferation|CFSE,A T cell epitope specific proliferation assay performed on cells in vitro that uses a CFSE assay.,FALSE,,,http://purl.obolibrary.org/obo/OBI_0002071,,,,,,,,,,,,,,,,,A T cell epitope specific proliferation assay performed on cells in vitro that uses a CFSE assay.,IEDB,,,,,,,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of T cells,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0002096,,,,,,,,,,,,proliferation|CFSE,,,,,,,,,,,,,,,,,,,,,,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEDB,,,
http://purl.obolibrary.org/obo/OBI_0001832,detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17F production by T cells,IL-17F release|RNA/DNA detection,A T cell epitope specific interleukin-17F production assay that uses a detection of specific nucleic acids with complementary probes assay.,FALSE,,,http://purl.obolibrary.org/obo/OBI_0001772|http://purl.obolibrary.org/obo/OBI_0001291,,,,,,,,,,,,,,,,,A T cell epitope specific interleukin-17F production assay that uses a detection of specific nucleic acids with complementary probes assay.,IEDB,,,,,,,detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17F production by T cells,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0001832,,,,,,,,,,,,IL-17F release|RNA/DNA detection,,,,,,,,,,,,,,,,,,,,,,detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17F production by T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters",,,
http://purl.obolibrary.org/obo/OBI_0001843,detection of specific nucleic acids with complementary probes measuring epitope specific interleukin-15 production by T cells,IL-15 release|RNA/DNA detection,An assay of epitope specific interleukin-15 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.,FALSE,,,http://purl.obolibrary.org/obo/OBI_0001292,,,,,,,,,,,,,,,,,An assay of epitope specific interleukin-15 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.,IEDB,,,,,,,detection of specific nucleic acids with complementary probes measuring epitope specific interleukin-15 production by T cells,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0001843,,,,,,,,,,,,IL-15 release|RNA/DNA detection,,,,,,,,,,,,,,,,,,,,,,detection of specific nucleic acids with complementary probes measuring epitope specific interleukin-15 production by T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters",,,
http://purl.obolibrary.org/obo/OBI_0001059,ELISA microplate reader,,A microplate reader that is used for enzyme-linked immunosorbent assays (ELISA).,FALSE,,,http://purl.obolibrary.org/obo/OBI_0001058,,,,,,,,,,,,,,,,,A microplate reader that is used for enzyme-linked immunosorbent assays (ELISA).,PERSON: Erik Segerdell,,,,,,,ELISA microplate reader,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0001059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELISA microplate reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: Erik Segerdell,,,
http://purl.obolibrary.org/obo/CL_0000057,fibroblast,,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,FALSE,,,http://purl.obolibrary.org/obo/CL_0000000,,,,,,,,,,,,,,,,,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,,,,,,,,fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL:0000057,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/cl.owl,,,,,,,,,,,,,,,,,,,fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_7227,Drosophila melanogaster,fruit fly,,FALSE,,,http://purl.obolibrary.org/obo/NCBITaxon_197562,,,,fruit fly,,,,,,,,,,,,,,,,,,,,,Drosophila melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCBITaxon:7227,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/ncbitaxon.owl,,,,,,,,,,,,,,,,,,,Drosophila melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0400037,FACS Canto,,"A FACS_Canto is a flow_cytometer_analyser manufactured by Becton Dickinson. It features digital electronics, a solid state 488 nm, and a HeNe 633 nm lasers, and filters and PMTs for collecting up to 6 fluorescent parameters. The FACS_Canto is an analyser usually used in clinical applications.",FALSE,,,http://purl.obolibrary.org/obo/OBI_0400008,,,,,,,,,,,,,,,,,"A FACS_Canto is a flow_cytometer_analyser manufactured by Becton Dickinson. It features digital electronics, a solid state 488 nm, and a HeNe 633 nm lasers, and filters and PMTs for collecting up to 6 fluorescent parameters. The FACS_Canto is an analyser usually used in clinical applications.",http://www.bdbiosciences.com/pdfs/brochures/23-8742-00.pdf,,,,,,,FACS Canto,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0400037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FACS Canto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Quinn,,,
http://purl.obolibrary.org/obo/OBI_0400048,Guava EasyCyte Mini,,"A Guava_EasyCyte_Mini is a flow_cytometer_analyser that includes a single 488 nm laser, and filters and PMTs to collect up to 3 fluorescent parameters. It includes a photodiode forward scatter collector and an optional photodiode for side scatter collection.Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The mini accepts tubes only for inputting cells or beads. The Guava_EasyCyte_Mini cytometer is a small portable cytometer particularly useful for field measurement.",FALSE,,,http://purl.obolibrary.org/obo/OBI_0400008,,,,,,,,,,,,,,,,,"A Guava_EasyCyte_Mini is a flow_cytometer_analyser that includes a single 488 nm laser, and filters and PMTs to collect up to 3 fluorescent parameters. It includes a photodiode forward scatter collector and an optional photodiode for side scatter collection.Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The mini accepts tubes only for inputting cells or beads. The Guava_EasyCyte_Mini cytometer is a small portable cytometer particularly useful for field measurement.",http://www.guavatechnologies.com/main/products/easyCyteMini.cfm,,,,,,,Guava EasyCyte Mini,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0400048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guava EasyCyte Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Quinn,,,
