"Name"	"ScientificName"	"IRI"	"ID"
"chimpanzee"	"Pan troglodytes"	"http://purl.bioontology.org/ontology/NCBITAXON/9598"	"9598"
"cynomolgus"	"Macaca fascicularis"	"http://purl.bioontology.org/ontology/NCBITAXON/9541"	"9541"
"rhesus"	"Macaca mulatta"	"http://purl.bioontology.org/ontology/NCBITAXON/9544"	"9544"
"macaque"	"Macaca"	"http://purl.bioontology.org/ontology/NCBITAXON/9539"	"9539"
"sheep"	"Ovis aries"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"9940"
"porcine"	"Sus scrofa"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"9823"
"horse"	"Equus caballus"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"9796"
"cow"	"Bos taurus"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"9913"
"dog"	"Canis lupus familiaris"	"http://purl.bioontology.org/ontology/NCBITAXON/9615"	"9615"
"rabbit"	"Oryctolagus cuniculus"	"http://purl.bioontology.org/ontology/NCBITAXON/9986"	"9986"
"human"	"Homo sapiens"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"9606"
"marmoset"	"Callithrix jacchus"	"http://purl.bioontology.org/ontology/NCBITAXON/9483"	"9483"
"cat"	"Felis catus"	"http://purl.bioontology.org/ontology/NCBITAXON/9685"	"9685"
"rabbit"	"Oryctolagus cuniculus"	"http://purl.bioontology.org/ontology/NCBITAXON/9986"	"9986"
"chicken"	"Gallus gallus"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"9031"
"dog"	"Canis lupus familiaris"	"http://purl.bioontology.org/ontology/NCBITAXON/9615"	"9615"
"guinea pig"	"Cavia porcellus"	"http://purl.bioontology.org/ontology/NCBITAXON/10141"	"10141"
"mouse"	"Mus musculus"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"10090"
"rat"	"Rattus norvegicus"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"10116"
"tamarin"	"Saguinus imperator"	"http://purl.bioontology.org/ontology/NCBITAXON/9491"	"9491"
"goat"	"Capra hircus"	"http://purl.bioontology.org/ontology/NCBITAXON/9925"	"9925"
"hamster"	"Cricetulus griseus"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"10029"
"zebrafish"	"Danio rerio"	"http://purl.bioontology.org/ontology/NCBITAXON/7955"	"7955"
"african green monkey"	"Chlorocebus aethiops"	"http://purl.bioontology.org/ontology/NCBITAXON/9534"	"9534"
"donkey"	"Equus asinus"	"http://purl.bioontology.org/ontology/NCBITAXON/9793"	"9793"
"chicken"	"Gallus gallus"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"9031"
